"","Date","Team","Opponent","Location","TeamScore","OppScore","POSS","Result"
"141","01/05/2017","Abilene Christian","Central Ark.","H",76,81,73.975,"L"
"151","01/07/2017","Abilene Christian","SFA","H",69,60,67.6625,"W"
"161","01/12/2017","Abilene Christian","Southeastern La.","H",50,56,65.9,"L"
"171","01/14/2017","Abilene Christian","Lamar University","H",67,64,67.1625,"W"
"181","01/19/2017","Abilene Christian","Nicholls St.","A",59,62,67.075,"L"
"191","01/26/2017","Abilene Christian","Incarnate Word","A",79,82,71.025,"L"
"211","02/01/2017","Abilene Christian","New Orleans","H",70,69,66.2875,"W"
"221","02/04/2017","Abilene Christian","Sam Houston St.","H",71,64,69.275,"W"
"231","02/09/2017","Abilene Christian","Central Ark.","A",73,84,71.1375,"L"
"241","02/11/2017","Abilene Christian","Northwestern St.","H",76,72,75.425,"W"
"251","02/16/2017","Abilene Christian","McNeese","A",82,78,68.95,"W"
"271","02/25/2017","Abilene Christian","Sam Houston St.","A",84,81,70.675,"W"
"281","03/01/2017","Abilene Christian","Incarnate Word","H",75,89,71.2875,"L"
"291","03/04/2017","Abilene Christian","Houston Baptist","A",72,81,64.5125,"L"
"212","11/14/2016","Air Force","Jacksonville","H",86,68,68.35,"W"
"41","11/20/2016","Air Force","Florida A&M","H",87,62,72.1375,"W"
"51","11/22/2016","Air Force","Stetson","H",85,72,75.95,"W"
"62","11/25/2016","Air Force","Akron","N",75,84,68.0875,"L"
"72","11/26/2016","Air Force","East Carolina","N",63,70,70.3625,"L"
"8","11/30/2016","Air Force","New Mexico St.","A",70,78,61.675,"L"
"91","12/03/2016","Air Force","Missouri St.","H",83,70,65.4125,"W"
"101","12/07/2016","Air Force","Army West Point","A",71,79,79.2625,"L"
"112","12/10/2016","Air Force","Denver","H",65,77,66.7125,"L"
"122","12/19/2016","Air Force","Colorado","H",68,75,67.975,"L"
"132","12/22/2016","Air Force","UC Davis","H",77,67,72.2125,"W"
"142","12/28/2016","Air Force","Wyoming","A",72,84,78.3125,"L"
"152","12/31/2016","Air Force","Utah St.","H",78,73,65.4625,"W"
"162","01/07/2017","Air Force","Colorado St.","A",58,85,68.6,"L"
"172","01/11/2017","Air Force","Fresno St.","H",81,72,65.9,"W"
"182","01/14/2017","Air Force","San Jose St.","H",85,89,68.2125,"L"
"192","01/18/2017","Air Force","Nevada","A",76,83,73.7375,"L"
"201","01/21/2017","Air Force","UNLV","A",85,87,83.75,"L"
"213","01/24/2017","Air Force","San Diego St.","H",60,57,64.3125,"W"
"222","02/01/2017","Air Force","Fresno St.","A",64,73,68.4,"L"
"232","02/04/2017","Air Force","Wyoming","H",74,83,72.475,"L"
"242","02/08/2017","Air Force","New Mexico","H",67,74,64.4,"L"
"252","02/11/2017","Air Force","Boise St.","A",66,76,67.1625,"L"
"261","02/15/2017","Air Force","Nevada","H",59,78,63.4125,"L"
"272","02/18/2017","Air Force","San Jose St.","A",78,83,80.7875,"L"
"282","02/22/2017","Air Force","UNLV","H",81,58,67.8625,"W"
"292","02/25/2017","Air Force","Utah St.","A",58,89,66.9125,"L"
"301","03/01/2017","Air Force","San Diego St.","A",38,51,62.3125,"L"
"311","03/04/2017","Air Force","Boise St.","H",70,98,73.7125,"L"
"321","03/08/2017","Air Force","Wyoming","N",83,68,74.825,"W"
"331","03/09/2017","Air Force","Colorado St.","N",55,81,64.15,"L"
"1","11/12/2016","Akron","Youngstown St.","A",82,90,75.5,"L"
"214","11/17/2016","Akron","American","H",72,62,68.1125,"W"
"38","11/20/2016","Akron","Radford","H",88,41,69,"W"
"42","11/22/2016","Akron","Ga. Southern","H",75,67,68.8125,"W"
"63","11/26/2016","Akron","Mercer","N",65,63,55.7875,"W"
"81","12/03/2016","Akron","Creighton","A",70,82,69.2,"L"
"92","12/07/2016","Akron","Coppin St.","H",87,63,69.8125,"W"
"102","12/10/2016","Akron","Gonzaga","A",43,61,60.575,"L"
"113","12/17/2016","Akron","Marshall","H",99,88,75.7125,"W"
"123","12/21/2016","Akron","UC Irvine","N",88,80,68.1375,"W"
"133","12/22/2016","Akron","UMES","N",76,60,62.225,"W"
"143","01/03/2017","Akron","Bowling Green","H",89,84,71.2125,"W"
"153","01/06/2017","Akron","Western Mich.","H",66,59,65.15,"W"
"163","01/10/2017","Akron","Central Mich.","A",89,85,71.7875,"W"
"173","01/14/2017","Akron","Miami (OH)","A",74,70,65.8,"W"
"183","01/17/2017","Akron","Ohio","H",83,68,67.4125,"W"
"193","01/20/2017","Akron","Eastern Mich.","H",70,63,74.325,"W"
"202","01/24/2017","Akron","Western Mich.","A",90,80,70.375,"W"
"215","01/28/2017","Akron","Buffalo","H",91,90,73.4625,"W"
"223","01/31/2017","Akron","Northern Ill.","A",76,73,68.8375,"W"
"233","02/04/2017","Akron","Ohio","A",70,85,72.825,"L"
"243","02/07/2017","Akron","Ball St.","H",65,63,64.4375,"W"
"253","02/10/2017","Akron","Eastern Mich.","A",87,76,64.025,"W"
"262","02/14/2017","Akron","Toledo","H",71,65,65.6,"W"
"273","02/17/2017","Akron","Kent St.","H",67,70,64.45,"L"
"283","02/21/2017","Akron","Bowling Green","A",65,66,69.7,"L"
"293","02/24/2017","Akron","Buffalo","A",89,83,70.175,"W"
"302","02/28/2017","Akron","Miami (OH)","H",75,79,68.3125,"L"
"312","03/03/2017","Akron","Kent St.","A",66,56,63.1,"W"
"322","03/09/2017","Akron","Eastern Mich.","N",79,62,64.9,"W"
"332","03/10/2017","Akron","Ball St.","N",74,70,71.125,"W"
"341","03/11/2017","Akron","Kent St.","N",65,70,60.3625,"L"
"351","03/15/2017","Akron","Houston","A",78,75,69.1625,"W"
"361","03/20/2017","Akron","UT Arlington","A",69,85,77.8125,"L"
"110","11/11/2016","Alabama","Coastal Caro.","H",70,53,64.975,"W"
"216","11/15/2016","Alabama","Dayton","H",72,77,65.9625,"L"
"39","11/18/2016","Alabama","Ball St.","H",77,59,70.075,"W"
"43","11/21/2016","Alabama","Valparaiso","N",60,68,65.575,"L"
"52","11/23/2016","Alabama","Saint Louis","N",62,57,64.7875,"W"
"64","11/29/2016","Alabama","Charleston So.","H",76,46,74.025,"W"
"73","12/02/2016","Alabama","Texas","A",68,77,66.9,"L"
"82","12/11/2016","Alabama","Oregon","A",56,65,67.4625,"L"
"93","12/15/2016","Alabama","USC Upstate","H",78,61,67.075,"W"
"103","12/18/2016","Alabama","Clemson","H",54,67,67.7625,"L"
"114","12/21/2016","Alabama","Arkansas St.","N",67,52,67.7375,"W"
"124","12/29/2016","Alabama","Stetson","H",83,60,72.4125,"W"
"134","01/03/2017","Alabama","Mississippi St.","A",68,58,69.475,"W"
"144","01/07/2017","Alabama","Vanderbilt","H",59,56,63.4125,"W"
"154","01/10/2017","Alabama","Florida","H",67,80,73.7,"L"
"164","01/14/2017","Alabama","LSU","A",81,66,73.0875,"W"
"174","01/18/2017","Alabama","Missouri","H",68,56,65.6125,"W"
"184","01/21/2017","Alabama","Auburn","A",64,84,69.4875,"L"
"194","01/25/2017","Alabama","Georgia","A",80,60,65.5875,"W"
"203","01/28/2017","Alabama","Mississippi St.","H",71,62,69.5625,"W"
"217","02/01/2017","Alabama","Arkansas","A",68,87,72.325,"L"
"224","02/04/2017","Alabama","Auburn","H",77,82,69.95,"L"
"234","02/07/2017","Alabama","South Carolina","A",90,86,100.2125,"W"
"244","02/11/2017","Alabama","Kentucky","H",58,67,70.45,"L"
"254","02/15/2017","Alabama","Missouri","A",57,54,59.95,"W"
"263","02/18/2017","Alabama","LSU","H",90,72,68.925,"W"
"274","02/23/2017","Alabama","Georgia","H",55,60,61.15,"L"
"284","02/25/2017","Alabama","Texas A&M","A",53,56,61.925,"L"
"294","03/01/2017","Alabama","Ole Miss","H",70,55,71.2125,"W"
"303","03/04/2017","Alabama","Tennessee","A",54,59,60.8375,"L"
"313","03/09/2017","Alabama","Mississippi St.","N",75,55,66.1,"W"
"323","03/10/2017","Alabama","South Carolina","N",64,53,60.95,"W"
"333","03/11/2017","Alabama","Kentucky","N",74,79,70.0125,"L"
"342","03/14/2017","Alabama","Richmond","H",64,71,66.275,"L"
"115","11/11/2016","Alabama A&M","Missouri St.","A",62,96,63.4875,"L"
"218","11/13/2016","Alabama A&M","Missouri","A",44,99,69.9,"L"
"310","11/17/2016","Alabama A&M","Tennessee Tech","A",61,95,67.7625,"L"
"44","11/21/2016","Alabama A&M","Southern Miss.","A",55,63,59.9375,"L"
"53","11/26/2016","Alabama A&M","Murray St.","A",54,91,62.3625,"L"
"65","11/29/2016","Alabama A&M","UAB","A",45,75,66.2875,"L"
"74","12/03/2016","Alabama A&M","Tennessee Tech","H",74,79,67.9875,"L"
"83","12/10/2016","Alabama A&M","Troy","A",59,88,69.475,"L"
"94","12/14/2016","Alabama A&M","Georgia St.","A",79,94,72.2125,"L"
"104","12/22/2016","Alabama A&M","Bowling Green","A",61,74,72.3375,"L"
"116","12/29/2016","Alabama A&M","Western Mich.","A",50,80,67.3875,"L"
"125","01/02/2017","Alabama A&M","Jackson St.","H",51,63,59.1125,"L"
"135","01/04/2017","Alabama A&M","Grambling","H",67,69,67.0875,"L"
"145","01/07/2017","Alabama A&M","Mississippi Val.","A",79,76,73.8125,"W"
"155","01/09/2017","Alabama A&M","Ark.-Pine Bluff","A",65,81,66.5,"L"
"165","01/14/2017","Alabama A&M","Alabama St.","H",55,57,52.3625,"L"
"175","01/21/2017","Alabama A&M","Southern U.","H",52,53,65.7375,"L"
"185","01/23/2017","Alabama A&M","Alcorn","H",70,81,65.95,"L"
"195","01/28/2017","Alabama A&M","Prairie View","A",65,70,71.7125,"L"
"204","01/30/2017","Alabama A&M","Texas Southern","A",47,92,70.1625,"L"
"219","02/04/2017","Alabama A&M","Mississippi Val.","H",66,68,68.2875,"L"
"225","02/06/2017","Alabama A&M","Ark.-Pine Bluff","H",49,65,57.3375,"L"
"235","02/11/2017","Alabama A&M","Alabama St.","A",89,97,94.6875,"L"
"245","02/18/2017","Alabama A&M","Southern U.","A",64,77,64.55,"L"
"255","02/20/2017","Alabama A&M","Alcorn","A",59,74,64,"L"
"264","02/25/2017","Alabama A&M","Prairie View","H",87,74,70.225,"W"
"275","02/27/2017","Alabama A&M","Texas Southern","H",64,74,57.7375,"L"
"285","03/02/2017","Alabama A&M","Jackson St.","A",64,72,59.15,"L"
"295","03/04/2017","Alabama A&M","Grambling","A",57,78,63.7375,"L"
"117","11/12/2016","Alabama St.","Western Ky.","A",66,79,77.025,"L"
"220","11/14/2016","Alabama St.","TCU","A",62,98,74.1875,"L"
"314","11/16/2016","Alabama St.","Louisiana Tech","A",56,87,75.2875,"L"
"45","11/22/2016","Alabama St.","Kennesaw St.","A",72,79,70.45,"L"
"54","11/25/2016","Alabama St.","Northern Ariz.","N",57,71,67.975,"L"
"66","11/26/2016","Alabama St.","Cal St. Fullerton","N",76,67,83.175,"W"
"75","11/29/2016","Alabama St.","Jacksonville St.","H",69,72,70.3625,"L"
"84","12/04/2016","Alabama St.","Troy","A",65,83,72.6625,"L"
"95","12/12/2016","Alabama St.","San Diego St.","A",41,73,63.075,"L"
"105","12/14/2016","Alabama St.","Tennessee St.","A",46,68,74.6375,"L"
"118","12/22/2016","Alabama St.","Ball St.","A",48,73,71.7375,"L"
"136","01/02/2017","Alabama St.","Grambling","H",73,69,70.9,"W"
"146","01/04/2017","Alabama St.","Jackson St.","H",60,63,63.475,"L"
"156","01/07/2017","Alabama St.","Ark.-Pine Bluff","A",63,71,79.525,"L"
"166","01/09/2017","Alabama St.","Mississippi Val.","A",70,73,70.975,"L"
"186","01/21/2017","Alabama St.","Alcorn","H",71,78,72.95,"L"
"196","01/23/2017","Alabama St.","Southern U.","H",79,65,65.45,"W"
"205","01/28/2017","Alabama St.","Texas Southern","A",68,70,70.7875,"L"
"2110","01/30/2017","Alabama St.","Prairie View","A",52,72,62.3625,"L"
"226","02/04/2017","Alabama St.","Ark.-Pine Bluff","H",77,65,67.6125,"W"
"236","02/06/2017","Alabama St.","Mississippi Val.","H",71,66,75.0875,"W"
"256","02/18/2017","Alabama St.","Alcorn","A",67,75,71.6625,"L"
"265","02/20/2017","Alabama St.","Southern U.","A",73,79,70.425,"L"
"276","02/25/2017","Alabama St.","Texas Southern","H",73,86,76.9625,"L"
"286","02/27/2017","Alabama St.","Prairie View","H",58,77,58.9375,"L"
"296","03/02/2017","Alabama St.","Grambling","A",69,82,61.7125,"L"
"304","03/04/2017","Alabama St.","Jackson St.","A",59,65,64.375,"L"
"315","03/07/2017","Alabama St.","Texas Southern","A",72,87,67.8,"L"
"119","11/11/2016","Albany (NY)","Penn St.","A",87,81,77.6625,"W"
"227","11/14/2016","Albany (NY)","Cincinnati","A",51,74,65.075,"L"
"46","11/19/2016","Albany (NY)","Grand Canyon","N",77,82,70.475,"L"
"55","11/20/2016","Albany (NY)","Brown","N",80,76,71.5375,"W"
"67","11/27/2016","Albany (NY)","Siena","H",81,72,66.0375,"W"
"76","11/30/2016","Albany (NY)","Holy Cross","H",49,55,58.25,"L"
"85","12/03/2016","Albany (NY)","Yale","A",55,59,62.0625,"L"
"96","12/07/2016","Albany (NY)","Marist","H",78,66,69.05,"W"
"106","12/10/2016","Albany (NY)","Colgate","A",74,66,61.7875,"W"
"1110","12/12/2016","Albany (NY)","Canisius","A",64,77,72.9375,"L"
"126","12/17/2016","Albany (NY)","St. Francis Brooklyn","H",87,60,69.2875,"W"
"137","12/20/2016","Albany (NY)","SMU","A",53,71,57.8875,"L"
"147","12/30/2016","Albany (NY)","Columbia","A",70,67,67.425,"W"
"157","01/02/2017","Albany (NY)","Cornell","H",69,59,64.4375,"W"
"167","01/05/2017","Albany (NY)","UMass Lowell","A",79,85,65.9625,"L"
"176","01/08/2017","Albany (NY)","Stony Brook","A",70,72,63.075,"L"
"187","01/11/2017","Albany (NY)","New Hampshire","H",67,75,61.025,"L"
"197","01/16/2017","Albany (NY)","UMBC","A",77,50,61.8125,"W"
"206","01/19/2017","Albany (NY)","Binghamton","H",84,65,56.9375,"W"
"2111","01/22/2017","Albany (NY)","Maine","H",81,63,66.975,"W"
"228","01/25/2017","Albany (NY)","Vermont","H",49,60,67.3375,"L"
"237","01/28/2017","Albany (NY)","Hartford","A",74,61,67.7125,"W"
"246","02/01/2017","Albany (NY)","UMass Lowell","H",90,77,70.525,"W"
"257","02/04/2017","Albany (NY)","Stony Brook","H",65,72,63.1625,"L"
"266","02/06/2017","Albany (NY)","New Hampshire","A",69,55,60.125,"W"
"277","02/09/2017","Albany (NY)","Binghamton","A",66,54,59.9625,"W"
"287","02/15/2017","Albany (NY)","UMBC","H",78,69,64.4,"W"
"297","02/19/2017","Albany (NY)","Maine","A",74,56,65.8375,"W"
"305","02/22/2017","Albany (NY)","Vermont","A",50,62,51.5625,"L"
"316","02/25/2017","Albany (NY)","Hartford","H",80,62,68.625,"W"
"324","03/01/2017","Albany (NY)","Hartford","H",100,71,72.3125,"W"
"334","03/06/2017","Albany (NY)","Stony Brook","A",63,56,65.1375,"W"
"343","03/11/2017","Albany (NY)","Vermont","A",53,56,58.525,"L"
"352","03/16/2017","Albany (NY)","Saint Peter's","H",55,59,57.4875,"L"
"120","11/11/2016","Alcorn","Loyola Chicago","A",44,69,63.15,"L"
"229","11/14/2016","Alcorn","Evansville","A",59,82,67.6875,"L"
"56","11/27/2016","Alcorn","Colorado St.","A",58,80,65.875,"L"
"68","11/30/2016","Alcorn","San Francisco","A",65,78,73.4125,"L"
"77","12/03/2016","Alcorn","California","A",59,83,71.2625,"L"
"86","12/05/2016","Alcorn","Louisiana Tech","A",65,98,78.575,"L"
"97","12/18/2016","Alcorn","Georgia Tech","A",50,74,69.975,"L"
"107","12/20/2016","Alcorn","Grand Canyon","A",53,63,72.525,"L"
"127","01/02/2017","Alcorn","Texas Southern","H",65,67,66.7625,"L"
"138","01/04/2017","Alcorn","Prairie View","H",66,55,67.4125,"W"
"148","01/09/2017","Alcorn","Grambling","A",62,67,65.0125,"L"
"158","01/11/2017","Alcorn","Jackson St.","A",63,50,63.8125,"W"
"168","01/14/2017","Alcorn","Mississippi Val.","H",77,84,83.25,"L"
"177","01/16/2017","Alcorn","Ark.-Pine Bluff","H",82,64,76.3,"W"
"207","01/28/2017","Alcorn","Southern U.","H",74,64,59.8625,"W"
"2112","02/04/2017","Alcorn","Jackson St.","H",69,58,64.4,"W"
"2210","02/06/2017","Alcorn","Grambling","H",75,65,64.1,"W"
"238","02/11/2017","Alcorn","Mississippi Val.","A",88,77,74.9,"W"
"247","02/13/2017","Alcorn","Ark.-Pine Bluff","A",70,58,62.9125,"W"
"278","02/25/2017","Alcorn","Southern U.","A",68,67,66.175,"W"
"288","03/02/2017","Alcorn","Texas Southern","A",88,94,79.1375,"L"
"298","03/04/2017","Alcorn","Prairie View","A",60,66,62.3375,"L"
"306","03/07/2017","Alcorn","Mississippi Val.","H",63,60,71.55,"W"
"317","03/10/2017","Alcorn","Southern U.","N",81,59,71.85,"W"
"325","03/11/2017","Alcorn","Texas Southern","N",50,53,62.3625,"L"
"128","11/11/2016","American","Maryland","A",56,62,62.125,"L"
"230","11/14/2016","American","Texas A&M","A",53,76,66.25,"L"
"47","11/22/2016","American","Wagner","H",65,73,67.95,"L"
"57","11/26/2016","American","Saint Francis (PA)","H",62,69,67.6625,"L"
"69","11/29/2016","American","Western Ill.","H",57,50,63.425,"W"
"78","12/03/2016","American","Howard","A",54,71,67.2875,"L"
"87","12/06/2016","American","New Hampshire","H",70,80,63.125,"L"
"98","12/10/2016","American","Youngstown St.","H",77,62,73.6,"W"
"108","12/19/2016","American","UMES","H",61,58,66.475,"W"
"1111","12/21/2016","American","Villanova","A",48,90,67.1,"L"
"129","12/30/2016","American","Loyola Maryland","H",66,68,61.025,"L"
"139","01/02/2017","American","Colgate","A",67,64,73.5375,"W"
"149","01/05/2017","American","Bucknell","H",60,69,65.925,"L"
"159","01/08/2017","American","Lehigh","A",73,79,72.375,"L"
"169","01/11/2017","American","Boston U.","A",66,76,65.075,"L"
"178","01/14/2017","American","Army West Point","H",49,53,62.35,"L"
"188","01/18/2017","American","Lafayette","H",71,57,60.7875,"W"
"198","01/23/2017","American","Holy Cross","A",55,63,66.425,"L"
"208","01/25/2017","American","Navy","H",53,71,55.575,"L"
"2113","01/29/2017","American","Colgate","H",65,70,58.6875,"L"
"2211","02/01/2017","American","Bucknell","A",60,80,70.475,"L"
"239","02/04/2017","American","Lehigh","H",55,70,63.725,"L"
"248","02/08/2017","American","Boston U.","H",64,67,62.075,"L"
"258","02/11/2017","American","Army West Point","A",61,58,68.2625,"W"
"267","02/15/2017","American","Lafayette","A",65,78,70.3375,"L"
"279","02/19/2017","American","Holy Cross","H",54,69,59.6,"L"
"289","02/22/2017","American","Navy","A",74,58,65.375,"W"
"299","02/25/2017","American","Loyola Maryland","A",64,62,63.9875,"W"
"307","02/28/2017","American","Army West Point","A",58,74,63.9625,"L"
"130","11/12/2016","Appalachian St.","Davidson","A",74,86,73.5875,"L"
"240","11/15/2016","Appalachian St.","Tennessee","A",94,103,82.3625,"L"
"48","11/23/2016","Appalachian St.","Hartford","A",70,61,70.4375,"W"
"58","11/26/2016","Appalachian St.","Duke","A",58,93,69.7125,"L"
"610","11/28/2016","Appalachian St.","Charlotte","A",72,80,75.55,"L"
"79","12/03/2016","Appalachian St.","Western Caro.","H",53,58,64.375,"L"
"109","12/17/2016","Appalachian St.","James Madison","H",73,61,70.7375,"W"
"1112","12/21/2016","Appalachian St.","Hampton","H",88,67,66.425,"W"
"1210","12/31/2016","Appalachian St.","Texas St.","A",58,67,64.075,"L"
"1310","01/02/2017","Appalachian St.","UT Arlington","A",69,84,77.0375,"L"
"1410","01/07/2017","Appalachian St.","Little Rock","H",68,76,61.3375,"L"
"1510","01/09/2017","Appalachian St.","Arkansas St.","H",70,57,68.6625,"W"
"1610","01/14/2017","Appalachian St.","Coastal Caro.","A",73,85,71.325,"L"
"179","01/21/2017","Appalachian St.","Ga. Southern","A",88,92,78.8875,"L"
"189","01/23/2017","Appalachian St.","Georgia St.","A",72,83,72.1625,"L"
"199","01/28/2017","Appalachian St.","UT Arlington","H",67,83,74.4875,"L"
"209","01/30/2017","Appalachian St.","Texas St.","H",55,68,62.3625,"L"
"2114","02/04/2017","Appalachian St.","Arkansas St.","A",78,79,76.5125,"L"
"2212","02/06/2017","Appalachian St.","Little Rock","A",62,69,56.675,"L"
"2310","02/11/2017","Appalachian St.","Georgia St.","H",77,72,75.55,"W"
"249","02/13/2017","Appalachian St.","Ga. Southern","H",83,78,80.675,"W"
"259","02/18/2017","Appalachian St.","South Ala.","A",74,87,76.5125,"L"
"268","02/20/2017","Appalachian St.","Troy","A",66,76,74.05,"L"
"2710","02/25/2017","Appalachian St.","La.-Monroe","H",64,75,73.2125,"L"
"2810","02/27/2017","Appalachian St.","Louisiana","H",62,77,71.2625,"L"
"2910","03/04/2017","Appalachian St.","Coastal Caro.","H",77,73,71.4125,"W"
"308","03/08/2017","Appalachian St.","Troy","N",64,84,65.3375,"L"
"140","11/11/2016","Arizona","Michigan St.","N",65,63,67.55,"W"
"250","11/15/2016","Arizona","CSU Bakersfield","H",78,66,67.425,"W"
"318","11/18/2016","Arizona","Sacred Heart","H",95,65,77.2625,"W"
"49","11/21/2016","Arizona","Northern Colo.","H",71,55,64.7875,"W"
"59","11/24/2016","Arizona","Santa Clara","N",69,61,60.675,"W"
"611","11/25/2016","Arizona","Butler","N",65,69,67.2375,"L"
"710","11/30/2016","Arizona","Texas Southern","H",85,63,66.2,"W"
"88","12/03/2016","Arizona","Gonzaga","N",62,69,64.9,"L"
"99","12/06/2016","Arizona","UC Irvine","H",79,57,65.525,"W"
"1010","12/10/2016","Arizona","Missouri","A",79,60,69,"W"
"1113","12/14/2016","Arizona","Grand Canyon","H",64,54,69.7625,"W"
"1211","12/17/2016","Arizona","Texas A&M","N",67,63,62.7375,"W"
"1311","12/20/2016","Arizona","New Mexico","H",77,46,69.1875,"W"
"1411","12/30/2016","Arizona","California","A",67,62,66.525,"W"
"1511","01/01/2017","Arizona","Stanford","A",91,52,72.925,"W"
"1611","01/05/2017","Arizona","Utah","H",66,56,62.9875,"W"
"1710","01/07/2017","Arizona","Colorado","H",82,73,72.1625,"W"
"1810","01/12/2017","Arizona","Arizona St.","H",91,75,69.2875,"W"
"1910","01/19/2017","Arizona","Southern California","A",73,66,66.5,"W"
"2010","01/21/2017","Arizona","UCLA","A",96,85,73.3125,"W"
"2115","01/26/2017","Arizona","Washington St.","H",79,62,62.65,"W"
"2213","01/29/2017","Arizona","Washington","H",77,66,68.6625,"W"
"2311","02/02/2017","Arizona","Oregon St.","A",71,54,63,"W"
"2410","02/04/2017","Arizona","Oregon","A",58,85,63.0125,"L"
"2510","02/08/2017","Arizona","Stanford","H",74,67,65.7375,"W"
"269","02/11/2017","Arizona","California","H",62,57,58.3625,"W"
"2711","02/16/2017","Arizona","Washington St.","A",78,59,65.15,"W"
"2811","02/18/2017","Arizona","Washington","A",76,68,67.475,"W"
"2911","02/23/2017","Arizona","Southern California","H",90,77,69.2625,"W"
"309","02/25/2017","Arizona","UCLA","H",72,77,65.8125,"L"
"319","03/04/2017","Arizona","Arizona St.","A",73,60,67.35,"W"
"326","03/09/2017","Arizona","Colorado","N",92,78,70.3,"W"
"335","03/10/2017","Arizona","UCLA","N",86,75,75.775,"W"
"344","03/11/2017","Arizona","Oregon","N",83,80,70.0625,"W"
"353","03/16/2017","Arizona","North Dakota","N",100,82,74.45,"W"
"371","03/23/2017","Arizona","Xavier","N",71,73,61.4125,"L"
"150","11/11/2016","Arizona St.","Portland St.","H",88,70,79.3375,"W"
"260","11/13/2016","Arizona St.","Cal Poly","H",96,74,74.7,"W"
"320","11/17/2016","Arizona St.","UNI","N",63,82,66.65,"L"
"410","11/18/2016","Arizona St.","Tulane","N",80,71,69.6875,"W"
"510","11/20/2016","Arizona St.","Davidson","N",60,68,71.7125,"L"
"612","11/23/2016","Arizona St.","The Citadel","H",127,110,91.0875,"W"
"711","11/28/2016","Arizona St.","Kentucky","N",69,115,82.7875,"L"
"89","12/03/2016","Arizona St.","UNLV","H",97,73,75.3,"W"
"910","12/06/2016","Arizona St.","Purdue","N",64,97,70.7,"L"
