"","Date","Team","Opponent","Location","Result","TeamScore","OppScore"
"5294",2016-12-19,"Missouri St.","Chicago St.","H","W",66,46
"5295",2016-12-22,"Missouri St.","Southern California","N","L",75,83
"5296",2016-12-23,"Missouri St.","DePaul","N","W",69,58
"5297",2016-12-28,"Missouri St.","UNI","A","W",68,64
"5298",2016-12-31,"Missouri St.","Indiana St.","H","W",81,75
"5299",2017-01-04,"Missouri St.","Illinois St.","A","L",71,74
"5300",2017-01-07,"Missouri St.","Southern Ill.","H","L",67,75
"5301",2017-01-11,"Missouri St.","Evansville","H","W",55,51
"5302",2017-01-15,"Missouri St.","Loyola Chicago","A","L",71,77
"5303",2017-01-18,"Missouri St.","Indiana St.","A","W",73,68
"5304",2017-01-21,"Missouri St.","Bradley","H","W",76,62
"5305",2017-01-24,"Missouri St.","Drake","H","L",71,72
"5306",2017-01-28,"Missouri St.","Southern Ill.","A","L",84,85
"5307",2017-01-31,"Missouri St.","Loyola Chicago","H","W",82,81
"5308",2017-02-04,"Missouri St.","Evansville","A","L",66,74
"5309",2017-02-09,"Missouri St.","Wichita St.","A","L",62,80
"5310",2017-02-12,"Missouri St.","UNI","H","L",52,55
"5311",2017-02-15,"Missouri St.","Illinois St.","H","L",66,67
"5312",2017-02-18,"Missouri St.","Drake","A","W",76,73
"5313",2017-02-22,"Missouri St.","Bradley","A","-",NA,NA
"5314",2017-02-25,"Missouri St.","Wichita St.","H","-",NA,NA
"5315",2016-11-11,"Monmouth","Drexel","H","W",78,65
"5316",2016-11-15,"Monmouth","South Carolina","A","L",69,70
"5317",2016-11-18,"Monmouth","Syracuse","A","L",50,71
"5318",2016-11-22,"Monmouth","Cornell","H","W",76,61
"5319",2016-11-26,"Monmouth","South Carolina St.","N","W",86,62
"5320",2016-11-27,"Monmouth","Holy Cross","A","W",80,77
"5321",2016-12-01,"Monmouth","Quinnipiac","A","W",91,72
"5322",2016-12-04,"Monmouth","Canisius","H","W",94,88
"5323",2016-12-06,"Monmouth","Wagner","A","W",81,71
"5324",2016-12-10,"Monmouth","Army West Point","H","W",81,71
"5325",2016-12-13,"Monmouth","Memphis","A","W",82,79
"5326",2016-12-20,"Monmouth","Princeton","H","W",96,90
"5327",2016-12-28,"Monmouth","North Carolina","A","L",74,102
"5328",2016-12-31,"Monmouth","Rider","H","L",90,93
"5329",2017-01-02,"Monmouth","Saint Peter's","A","L",61,71
"5330",2017-01-06,"Monmouth","Iona","H","W",92,74
"5331",2017-01-08,"Monmouth","Marist","H","W",71,64
"5332",2017-01-14,"Monmouth","Niagara","A","W",90,83
"5333",2017-01-16,"Monmouth","Canisius","A","W",76,72
"5334",2017-01-20,"Monmouth","Manhattan","H","W",82,71
"5335",2017-01-22,"Monmouth","Fairfield","H","W",91,49
"5336",2017-01-27,"Monmouth","Quinnipiac","H","W",95,76
"5337",2017-01-30,"Monmouth","Marist","A","W",83,71
"5338",2017-02-03,"Monmouth","Saint Peter's","H","W",71,70
"5339",2017-02-06,"Monmouth","Rider","A","W",74,69
"5340",2017-02-10,"Monmouth","Manhattan","A","W",62,58
"5341",2017-02-13,"Monmouth","Siena","A","W",102,82
"5342",2017-02-16,"Monmouth","Niagara","H","W",93,75
"5343",2017-02-21,"Monmouth","Fairfield","A","-",NA,NA
"5344",2017-02-24,"Monmouth","Siena","H","-",NA,NA
"5345",2017-02-26,"Monmouth","Iona","A","-",NA,NA
"5346",2016-11-11,"Montana","Southern California","A","L",61,75
"5347",2016-11-14,"Montana","Wyoming","H","L",72,73
"5348",2016-11-18,"Montana","North Carolina St.","N","L",72,85
"5349",2016-11-19,"Montana","Washington St.","N","L",63,87
"5350",2016-11-21,"Montana","Oral Roberts","N","W",68,47
"5351",2016-11-24,"Montana","Ole Miss","A","L",81,86
"5352",2016-11-27,"Montana","South Dakota","A","L",67,72
"5353",2016-12-03,"Montana","Milwaukee","H","W",75,69
"5354",2016-12-07,"Montana","San Jose St.","H","W",81,62
"5355",2016-12-10,"Montana","Wyoming","A","L",83,85
"5356",2016-12-13,"Montana","Oregon","A","L",67,81
"5357",2016-12-17,"Montana","UC Riverside","A","W",71,63
"5358",2016-12-22,"Montana","Pepperdine","H","W",71,70
"5359",2016-12-29,"Montana","Idaho St.","H","W",74,62
"5360",2016-12-31,"Montana","Weber St.","H","L",81,84
"5361",2017-01-05,"Montana","Idaho","A","W",70,57
"5362",2017-01-07,"Montana","Eastern Wash.","A","W",65,59
"5363",2017-01-12,"Montana","Northern Colo.","H","W",89,68
"5364",2017-01-14,"Montana","North Dakota","H","W",76,70
"5365",2017-01-19,"Montana","Portland St.","A","L",79,88
"5366",2017-01-21,"Montana","Sacramento St.","A","L",83,92
"5367",2017-01-26,"Montana","Eastern Wash.","H","L",60,72
"5368",2017-01-28,"Montana","Idaho","H","L",77,85
"5369",2017-02-04,"Montana","Montana St.","H","W",90,84
"5370",2017-02-09,"Montana","Southern Utah","A","W",70,55
"5371",2017-02-11,"Montana","Northern Ariz.","A","W",76,59
"5372",2017-02-16,"Montana","Sacramento St.","H","L",65,67
"5373",2017-02-18,"Montana","Portland St.","H","W",85,82
"5374",2017-02-25,"Montana","Montana St.","A","-",NA,NA
"5375",2017-03-02,"Montana","Weber St.","A","-",NA,NA
"5376",2017-03-04,"Montana","Idaho St.","A","-",NA,NA
"5377",2016-11-11,"Montana St.","Washington St.","A","L",65,69
"5378",2016-11-14,"Montana St.","Louisiana","H","W",84,83
"5379",2016-11-16,"Montana St.","Rocky Mountain","H","W",93,76
"5380",2016-11-18,"Montana St.","James Madison","H","W",80,73
"5381",2016-11-21,"Montana St.","Rice","A","L",78,83
"5382",2016-11-26,"Montana St.","Delaware St.","H","W",91,66
"5383",2016-11-28,"Montana St.","Arizona Christian","H","W",93,73
"5384",2016-12-01,"Montana St.","Utah","A","L",84,92
"5385",2016-12-05,"Montana St.","Milwaukee","H","L",78,83
"5386",2016-12-07,"Montana St.","South Dakota","A","L",57,74
"5387",2016-12-10,"Montana St.","Omaha","A","L",91,97
"5388",2016-12-18,"Montana St.","South Dakota","H","L",68,80
"5389",2016-12-21,"Montana St.","Central Mich.","H","L",103,106
"5390",2016-12-29,"Montana St.","Weber St.","H","L",75,87
"5391",2016-12-31,"Montana St.","Idaho St.","H","W",80,63
"5392",2017-01-05,"Montana St.","Eastern Wash.","A","L",64,82
"5393",2017-01-07,"Montana St.","Idaho","A","L",81,83
"5394",2017-01-12,"Montana St.","North Dakota","H","L",85,90
"5395",2017-01-14,"Montana St.","Northern Colo.","H","W",68,53
"5396",2017-01-19,"Montana St.","Sacramento St.","A","W",74,65
"5397",2017-01-21,"Montana St.","Portland St.","A","W",71,65
"5398",2017-01-26,"Montana St.","Idaho","H","W",94,91
"5399",2017-01-28,"Montana St.","Eastern Wash.","H","W",91,90
"5400",2017-02-04,"Montana St.","Montana","A","L",84,90
"5401",2017-02-09,"Montana St.","Northern Ariz.","A","L",63,69
"5402",2017-02-11,"Montana St.","Southern Utah","A","W",83,78
"5403",2017-02-16,"Montana St.","Portland St.","H","W",92,90
"5404",2017-02-18,"Montana St.","Sacramento St.","H","W",62,59
"5405",2017-02-25,"Montana St.","Montana","H","-",NA,NA
"5406",2017-03-02,"Montana St.","Idaho St.","A","-",NA,NA
"5407",2017-03-04,"Montana St.","Weber St.","A","-",NA,NA
"5408",2016-11-11,"Morehead St.","Ky. Christian","H","W",106,41
"5409",2016-11-13,"Morehead St.","Lipscomb","H","W",89,75
"5410",2016-11-16,"Morehead St.","Marshall","A","L",77,85
"5411",2016-11-19,"Morehead St.","Evansville","A","L",56,69
"5412",2016-11-25,"Morehead St.","Pittsburgh","A","L",63,76
"5413",2016-11-30,"Morehead St.","Northern Ky.","H","L",79,84
"5414",2016-12-03,"Morehead St.","Purdue","A","L",56,90
"5415",2016-12-10,"Morehead St.","Lipscomb","A","L",84,98
"5416",2016-12-13,"Morehead St.","Eastern Wash.","A","L",86,88
"5417",2016-12-17,"Morehead St.","ETSU","H","L",68,78
"5418",2016-12-19,"Morehead St.","Central Ark.","H","W",111,85
"5419",2016-12-22,"Morehead St.","Mississippi St.","A","L",76,85
"5420",2016-12-28,"Morehead St.","Asbury","H","W",120,77
"5421",2016-12-31,"Morehead St.","UT Martin","A","L",77,81
"5422",2017-01-05,"Morehead St.","Eastern Ill.","H","W",85,75
"5423",2017-01-07,"Morehead St.","SIUE","H","W",73,65
"5424",2017-01-12,"Morehead St.","Belmont","H","L",78,84
"5425",2017-01-14,"Morehead St.","Tennessee St.","H","W",87,85
"5426",2017-01-19,"Morehead St.","Austin Peay","A","W",89,82
"5427",2017-01-21,"Morehead St.","Eastern Ky.","H","W",80,54
"5428",2017-01-26,"Morehead St.","Tennessee Tech","A","L",73,76
"5429",2017-01-28,"Morehead St.","Jacksonville St.","A","W",72,69
"5430",2017-02-04,"Morehead St.","Southeast Mo. St.","A","W",89,81
"5431",2017-02-08,"Morehead St.","Murray St.","H","W",101,100
"5432",2017-02-11,"Morehead St.","Eastern Ky.","A","W",67,62
"5433",2017-02-16,"Morehead St.","Tennessee St.","A","L",52,64
"5434",2017-02-18,"Morehead St.","Belmont","A","L",73,89
"5435",2017-02-23,"Morehead St.","Tennessee Tech","H","-",NA,NA
"5436",2017-02-25,"Morehead St.","Jacksonville St.","H","-",NA,NA
"5437",2016-11-11,"Morgan St.","Houston","A","L",52,93
"5438",2016-11-15,"Morgan St.","Towson","H","L",72,78
"5439",2016-11-17,"Morgan St.","Wilmington (DE)","H","W",88,73
"5440",2016-11-19,"Morgan St.","Campbell","H","W",82,66
"5441",2016-11-23,"Morgan St.","Brown","A","L",75,81
"5442",2016-11-26,"Morgan St.","Bowling Green","A","L",58,90
"5443",2016-11-28,"Morgan St.","High Point","H","L",61,62
"5444",2016-12-03,"Morgan St.","Rutgers","A","L",58,72
"5445",2016-12-06,"Morgan St.","Manhattan","H","W",85,82
"5446",2016-12-10,"Morgan St.","Wagner","H","L",66,68
"5447",2016-12-21,"Morgan St.","Penn St.","A","L",55,96
"5448",2016-12-26,"Morgan St.","Loyola Marymount","A","L",49,70
"5449",2016-12-29,"Morgan St.","CSUN","A","L",61,82
"5450",2017-01-04,"Morgan St.","Norfolk St.","H","W",58,56
"5451",2017-01-07,"Morgan St.","Bethune-Cookman","A","W",69,63
"5452",2017-01-10,"Morgan St.","Florida A&M","A","W",62,59
"5453",2017-01-16,"Morgan St.","N.C. A&T","H","W",82,53
"5454",2017-01-21,"Morgan St.","Savannah St.","A","L",61,74
"5455",2017-01-23,"Morgan St.","South Carolina St.","A","W",77,75
"5456",2017-01-28,"Morgan St.","Coppin St.","A","W",76,74
"5457",2017-01-30,"Morgan St.","Florida A&M","H","W",77,60
"5458",2017-02-04,"Morgan St.","N.C. Central","H","L",62,68
"5459",2017-02-11,"Morgan St.","Delaware St.","H","L",45,56
"5460",2017-02-13,"Morgan St.","Howard","A","L",67,70
"5461",2017-02-18,"Morgan St.","Savannah St.","H","W",83,75
"5462",2017-02-20,"Morgan St.","Delaware St.","A","-",NA,NA
"5463",2017-02-25,"Morgan St.","Hampton","H","-",NA,NA
"5464",2017-02-27,"Morgan St.","Coppin St.","H","-",NA,NA
"5465",2017-03-02,"Morgan St.","UMES","A","-",NA,NA
"5466",2016-11-11,"Mt. St. Mary's","West Virginia","A","L",59,87
"5467",2016-11-14,"Mt. St. Mary's","Iowa St.","A","L",55,73
"5468",2016-11-16,"Mt. St. Mary's","Minnesota","A","L",56,80
"5469",2016-11-18,"Mt. St. Mary's","George Mason","A","W",78,76
"5470",2016-11-21,"Mt. St. Mary's","Southern Ill.","A","L",63,73
"5471",2016-11-23,"Mt. St. Mary's","UT Arlington","A","L",71,80
"5472",2016-11-26,"Mt. St. Mary's","Michigan","A","L",47,64
"5473",2016-11-28,"Mt. St. Mary's","Arkansas","A","L",76,89
"5474",2016-12-03,"Mt. St. Mary's","Loyola Maryland","A","L",57,64
"5475",2016-12-07,"Mt. St. Mary's","UMBC","H","L",70,78
"5476",2016-12-10,"Mt. St. Mary's","Lehigh","H","L",71,90
"5477",2016-12-19,"Mt. St. Mary's","Bucknell","A","L",65,81
"5478",2016-12-22,"Mt. St. Mary's","Coppin St.","H","W",87,49
"5479",2016-12-29,"Mt. St. Mary's","LIU Brooklyn","A","W",67,65
"5480",2016-12-31,"Mt. St. Mary's","Wagner","H","W",57,56
"5481",2017-01-05,"Mt. St. Mary's","Bryant","A","L",71,72
"5482",2017-01-07,"Mt. St. Mary's","Central Conn. St.","A","W",77,68
"5483",2017-01-12,"Mt. St. Mary's","Fairleigh Dickinson","H","W",77,70
"5484",2017-01-14,"Mt. St. Mary's","Saint Francis (PA)","H","W",78,72
"5485",2017-01-19,"Mt. St. Mary's","Sacred Heart","A","W",86,75
"5486",2017-01-21,"Mt. St. Mary's","St. Francis Brooklyn","A","W",55,47
"5487",2017-01-26,"Mt. St. Mary's","Robert Morris","H","W",48,47
"5488",2017-01-28,"Mt. St. Mary's","Sacred Heart","H","W",67,53
"5489",2017-02-02,"Mt. St. Mary's","Bryant","H","W",77,70
"5490",2017-02-04,"Mt. St. Mary's","Central Conn. St.","H","L",52,54
"5491",2017-02-09,"Mt. St. Mary's","Robert Morris","A","W",74,70
"5492",2017-02-11,"Mt. St. Mary's","Saint Francis (PA)","A","W",81,62
"5493",2017-02-16,"Mt. St. Mary's","Wagner","A","L",65,69
"5494",2017-02-18,"Mt. St. Mary's","Fairleigh Dickinson","A","W",79,74
"5495",2017-02-23,"Mt. St. Mary's","LIU Brooklyn","H","-",NA,NA
"5496",2017-02-25,"Mt. St. Mary's","St. Francis Brooklyn","H","-",NA,NA
"5497",2016-11-11,"Murray St.","Illinois St.","H","W",73,70
"5498",2016-11-15,"Murray St.","Middle Tenn.","A","L",81,87
"5499",2016-11-19,"Murray St.","Green Bay","N","W",93,77
"5500",2016-11-20,"Murray St.","UMKC","N","L",74,85
"5501",2016-11-21,"Murray St.","Bowling Green","A","L",77,78
"5502",2016-11-26,"Murray St.","Alabama A&M","H","W",91,54
"5503",2016-11-29,"Murray St.","Southern Ill.","A","L",85,89
"5504",2016-12-03,"Murray St.","Detroit Mercy","H","W",86,76
"5505",2016-12-10,"Murray St.","Evansville","A","L",46,78
"5506",2016-12-12,"Murray St.","Bethel (TN)","H","W",103,65
"5507",2016-12-15,"Murray St.","Ole Miss","A","L",73,78
"5508",2016-12-17,"Murray St.","South Dakota St.","A","L",84,88
"5509",2016-12-22,"Murray St.","Wright St.","H","L",62,77
"5510",2016-12-29,"Murray St.","Brescia","H","W",99,83
"5511",2016-12-31,"Murray St.","Tennessee St.","H","W",92,83
"5512",2017-01-05,"Murray St.","Jacksonville St.","A","W",76,63
"5513",2017-01-07,"Murray St.","Tennessee Tech","A","L",67,71
"5514",2017-01-12,"Murray St.","Eastern Ill.","A","W",83,72
"5515",2017-01-14,"Murray St.","SIUE","A","W",67,59
"5516",2017-01-19,"Murray St.","Eastern Ky.","H","W",86,79
"5517",2017-01-21,"Murray St.","Austin Peay","A","L",81,84
"5518",2017-01-26,"Murray St.","Southeast Mo. St.","H","L",74,75
"5519",2017-01-28,"Murray St.","UT Martin","H","W",94,86
"5520",2017-02-02,"Murray St.","Belmont","H","L",69,81
"5521",2017-02-08,"Murray St.","Morehead St.","A","L",100,101
"5522",2017-02-11,"Murray St.","Austin Peay","H","W",102,58
"5523",2017-02-16,"Murray St.","SIUE","H","W",84,73
"5524",2017-02-18,"Murray St.","Eastern Ill.","H","L",65,82
"5525",2017-02-23,"Murray St.","Southeast Mo. St.","A","-",NA,NA
"5526",2017-02-25,"Murray St.","UT Martin","A","-",NA,NA
"5527",2016-11-11,"N.C. A&T","Greensboro","H","W",67,50
"5528",2016-11-14,"N.C. A&T","East Carolina","A","L",51,61
"5529",2016-11-17,"N.C. A&T","Grambling","A","L",55,59
"5530",2016-11-22,"N.C. A&T","Western Ky.","A","L",56,77
"5531",2016-11-26,"N.C. A&T","Jacksonville","H","L",49,66
"5532",2016-11-29,"N.C. A&T","UNCG","A","L",66,86
"5533",2016-12-02,"N.C. A&T","North Dakota St.","H","L",67,85
"5534",2016-12-04,"N.C. A&T","Notre Dame","A","L",53,107
"5535",2016-12-13,"N.C. A&T","Massachusetts","A","L",59,65
"5536",2016-12-15,"N.C. A&T","Pacific","A","L",57,66
"5537",2016-12-18,"N.C. A&T","Rider","H","L",59,60
"5538",2016-12-22,"N.C. A&T","Kennesaw St.","A","L",60,68
"5539",2016-12-28,"N.C. A&T","Georgia Tech","A","L",52,59
"5540",2017-01-04,"N.C. A&T","Hampton","A","L",53,68
"5541",2017-01-07,"N.C. A&T","Delaware St.","H","L",53,55
"5542",2017-01-09,"N.C. A&T","UMES","H","L",88,99
"5543",2017-01-14,"N.C. A&T","Coppin St.","A","L",73,75
"5544",2017-01-16,"N.C. A&T","Morgan St.","A","L",53,82
"5545",2017-01-21,"N.C. A&T","Howard","H","L",63,78
"5546",2017-01-28,"N.C. A&T","N.C. Central","A","L",59,82
"5547",2017-01-30,"N.C. A&T","Norfolk St.","A","L",69,83
"5548",2017-02-01,"N.C. A&T","Delaware St.","A","L",65,82
"5549",2017-02-04,"N.C. A&T","Saint Louis","A","L",59,78
"5550",2017-02-07,"N.C. A&T","Allen","H","W",86,78
"5551",2017-02-11,"N.C. A&T","Florida A&M","H","L",77,83
"5552",2017-02-13,"N.C. A&T","South Carolina St.","H","L",65,72
"5553",2017-02-18,"N.C. A&T","Howard","A","L",53,84
"5554",2017-02-20,"N.C. A&T","UMES","A","-",NA,NA
"5555",2017-02-25,"N.C. A&T","Savannah St.","H","-",NA,NA
"5556",2017-02-27,"N.C. A&T","Bethune-Cookman","H","-",NA,NA
"5557",2017-03-02,"N.C. A&T","N.C. Central","H","-",NA,NA
"5558",2016-11-12,"N.C. Central","Marshall","A","L",69,81
"5559",2016-11-14,"N.C. Central","Ohio St.","A","L",63,69
"5560",2016-11-16,"N.C. Central","Western Caro.","A","W",67,59
"5561",2016-11-18,"N.C. Central","Jackson St.","H","W",84,75
"5562",2016-11-26,"N.C. Central","Northern Ky.","A","W",82,74
"5563",2016-11-28,"N.C. Central","Missouri","A","W",62,52
"5564",2016-12-01,"N.C. Central","Southern Wesleyan","H","W",92,55
"5565",2016-12-03,"N.C. Central","East Carolina","A","L",56,69
"5566",2016-12-06,"N.C. Central","LIU Brooklyn","H","W",79,56
"5567",2016-12-10,"N.C. Central","Coastal Caro.","A","L",67,70
"5568",2016-12-13,"N.C. Central","LSU","A","L",66,70
"5569",2016-12-17,"N.C. Central","McNeese","A","W",74,66
"5570",2016-12-28,"N.C. Central","Truett-McConnell","H","W",88,54
"5571",2016-12-30,"N.C. Central","Montreat","H","W",101,66
"5572",2017-01-10,"N.C. Central","Delaware St.","H","L",68,69
"5573",2017-01-11,"N.C. Central","UMES","H","W",69,52
"5574",2017-01-14,"N.C. Central","Norfolk St.","A","W",72,57
"5575",2017-01-16,"N.C. Central","Hampton","A","W",64,51
"5576",2017-01-23,"N.C. Central","Howard","H","W",74,39
"5577",2017-01-28,"N.C. Central","N.C. A&T","H","W",82,59
"5578",2017-01-30,"N.C. Central","Delaware St.","A","W",82,74
"5579",2017-02-04,"N.C. Central","Morgan St.","A","W",68,62
"5580",2017-02-06,"N.C. Central","Coppin St.","A","W",86,77
"5581",2017-02-11,"N.C. Central","South Carolina St.","H","W",85,62
"5582",2017-02-13,"N.C. Central","Florida A&M","H","W",78,73
"5583",2017-02-18,"N.C. Central","UMES","A","W",82,69
"5584",2017-02-20,"N.C. Central","Howard","A","-",NA,NA
"5585",2017-02-25,"N.C. Central","Bethune-Cookman","H","-",NA,NA
"5586",2017-02-27,"N.C. Central","Savannah St.","H","-",NA,NA
"5587",2017-03-02,"N.C. Central","N.C. A&T","A","-",NA,NA
"5588",2016-11-11,"NJIT","Sarah Lawrence","H","W",100,38
"5589",2016-11-14,"NJIT","Utah St.","A","L",84,93
"5590",2016-11-17,"NJIT","Lafayette","A","L",83,84
"5591",2016-11-19,"NJIT","Colgate","H","W",74,68
"5592",2016-11-22,"NJIT","Georgia St.","N","L",53,74
"5593",2016-11-23,"NJIT","Idaho St.","N","W",71,67
"5594",2016-11-26,"NJIT","Purdue","A","L",68,79
"5595",2016-11-30,"NJIT","Saint Francis (PA)","H","W",83,70
"5596",2016-12-03,"NJIT","UMass Lowell","A","W",75,74
"5597",2016-12-06,"NJIT","Minnesota","A","L",68,74
"5598",2016-12-10,"NJIT","Kent St.","A","L",71,87
"5599",2016-12-14,"NJIT","Iona","A","L",80,94
"5600",2016-12-17,"NJIT","Temple","A","L",63,68
"5601",2016-12-22,"NJIT","Dean","H","W",92,50
"5602",2016-12-28,"NJIT","Stony Brook","A","W",64,61
"5603",2017-01-04,"NJIT","Brown","H","W",75,73
"5604",2017-01-07,"NJIT","USC Upstate","A","L",65,75
"5605",2017-01-12,"NJIT","Jacksonville","H","L",81,82
"5606",2017-01-14,"NJIT","North Florida","H","W",84,78
"5607",2017-01-19,"NJIT","Stetson","A","L",76,82
"5608",2017-01-21,"NJIT","FGCU","A","L",71,84
"5609",2017-01-25,"NJIT","Kennesaw St.","A","L",65,71
"5610",2017-01-28,"NJIT","Lipscomb","H","L",62,66
"5611",2017-01-30,"NJIT","Kennesaw St.","H","L",53,54
"5612",2017-02-04,"NJIT","Lipscomb","A","L",63,87
"5613",2017-02-09,"NJIT","North Florida","A","L",69,91
"5614",2017-02-11,"NJIT","Jacksonville","A","L",73,76
"5615",2017-02-16,"NJIT","FGCU","H","L",73,80
"5616",2017-02-18,"NJIT","Stetson","H","W",60,56
"5617",2017-02-23,"NJIT","USC Upstate","H","-",NA,NA
"5618",2016-11-11,"Navy","Ohio St.","H","L",68,78
"5619",2016-11-13,"Navy","Washington Col.","H","W",74,47
"5620",2016-11-18,"Navy","North Dakota St.","N","L",59,66
"5621",2016-11-19,"Navy","High Point","A","L",62,69
"5622",2016-11-20,"Navy","UNCG","N","L",59,72
"5623",2016-11-23,"Navy","UMBC","H","W",78,66
"5624",2016-11-26,"Navy","Penn","H","W",70,68
"5625",2016-12-01,"Navy","Col. of Charleston","A","L",64,70
"5626",2016-12-03,"Navy","Furman","A","L",46,79
"5627",2016-12-06,"Navy","Bryant","H","W",76,74
"5628",2016-12-09,"Navy","Columbia","H","W",69,54
"5629",2016-12-22,"Navy","Hartford","A","L",54,63
"5630",2016-12-30,"Navy","Bucknell","H","L",55,59
"5631",2017-01-02,"Navy","Holy Cross","A","L",50,51
"5632",2017-01-05,"Navy","Boston U.","H","L",53,71
"5633",2017-01-08,"Navy","Colgate","H","W",67,55
"5634",2017-01-11,"Navy","Loyola Maryland","A","W",75,62
"5635",2017-01-14,"Navy","Lafayette","A","W",88,51
"5636",2017-01-18,"Navy","Lehigh","H","W",75,72
"5637",2017-01-21,"Navy","Army West Point","A","W",96,80
"5638",2017-01-25,"Navy","American","A","W",71,53
"5639",2017-01-28,"Navy","Holy Cross","H","W",60,47
"5640",2017-02-02,"Navy","Boston U.","A","W",70,61
"5641",2017-02-04,"Navy","Colgate","A","L",52,55
"5642",2017-02-08,"Navy","Loyola Maryland","H","W",62,59
"5643",2017-02-11,"Navy","Lafayette","H","W",68,60
"5644",2017-02-15,"Navy","Lehigh","A","L",55,74
"5645",2017-02-18,"Navy","Army West Point","H","L",68,71
"5646",2017-02-22,"Navy","American","H","-",NA,NA
"5647",2017-02-25,"Navy","Bucknell","A","-",NA,NA
"5648",2016-11-13,"Nebraska","Sacramento St.","H","W",83,61
"5649",2016-11-15,"Nebraska","Mary","H","W",70,38
"5650",2016-11-19,"Nebraska","Louisiana Tech","H","W",65,54
"5651",2016-11-24,"Nebraska","Dayton","N","W",80,78
"5652",2016-11-25,"Nebraska","UCLA","N","L",71,82
"5653",2016-11-27,"Nebraska","Virginia Tech","N","L",53,66
"5654",2016-11-30,"Nebraska","Clemson","A","L",58,60
"5655",2016-12-03,"Nebraska","South Dakota","H","W",73,61
"5656",2016-12-07,"Nebraska","Creighton","H","L",62,77
"5657",2016-12-10,"Nebraska","Kansas","A","L",72,89
"5658",2016-12-18,"Nebraska","Gardner-Webb","H","L",62,70
"5659",2016-12-20,"Nebraska","Southern U.","H","W",81,76
"5660",2016-12-28,"Nebraska","Indiana","A","W",87,83
"5661",2017-01-01,"Nebraska","Maryland","A","W",67,65
"5662",2017-01-05,"Nebraska","Iowa","H","W",93,90
"5663",2017-01-08,"Nebraska","Northwestern","H","L",66,74
"5664",2017-01-14,"Nebraska","Michigan","A","L",85,91
"5665",2017-01-18,"Nebraska","Ohio St.","H","L",66,67
"5666",2017-01-21,"Nebraska","Rutgers","A","L",64,65
"5667",2017-01-26,"Nebraska","Northwestern","A","L",61,73
"5668",2017-01-29,"Nebraska","Purdue","H","W",83,80
"5669",2017-02-02,"Nebraska","Michigan St.","H","L",61,72
"5670",2017-02-05,"Nebraska","Iowa","A","L",70,81
"5671",2017-02-09,"Nebraska","Wisconsin","H","L",69,70
"5672",2017-02-14,"Nebraska","Penn St.","H","W",82,66
"5673",2017-02-18,"Nebraska","Ohio St.","A","W",58,57
"5674",2017-02-23,"Nebraska","Michigan St.","A","-",NA,NA
"5675",2017-02-26,"Nebraska","Illinois","H","-",NA,NA
"5676",2017-03-02,"Nebraska","Minnesota","A","-",NA,NA
"5677",2017-03-05,"Nebraska","Michigan","H","-",NA,NA
"5678",2016-11-11,"Nevada","St. Mary's (CA)","A","L",63,81
"5679",2016-11-14,"Nevada","Loyola Marymount","H","W",79,64
"5680",2016-11-18,"Nevada","Oregon St.","H","W",83,58
"5681",2016-11-20,"Nevada","Iona","H","W",91,76
"5682",2016-11-23,"Nevada","Oakland","N","W",82,78
"5683",2016-11-25,"Nevada","Buffalo","N","W",67,62
"5684",2016-11-26,"Nevada","Iona","N","L",73,75
"5685",2016-11-29,"Nevada","Pacific","H","W",77,67
"5686",2016-12-03,"Nevada","Bradley","A","W",91,69
"5687",2016-12-11,"Nevada","Washington","A","W",87,85
"5688",2016-12-14,"Nevada","UC Irvine","H","W",76,69
"5689",2016-12-21,"Nevada","Towson","N","W",81,72
"5690",2016-12-22,"Nevada","UC Santa Barbara","N","W",67,66
"5691",2016-12-28,"Nevada","San Jose St.","H","W",80,55
"5692",2016-12-31,"Nevada","Fresno St.","A","L",76,77
"5693",2017-01-04,"Nevada","San Diego St.","H","W",72,69
"5694",2017-01-07,"Nevada","New Mexico","A","W",105,104
"5695",2017-01-14,"Nevada","Wyoming","A","W",89,74
"5696",2017-01-18,"Nevada","Air Force","H","W",83,76
"5697",2017-01-21,"Nevada","Fresno St.","H","L",76,81
"5698",2017-01-25,"Nevada","Boise St.","A","W",76,57
"5699",2017-01-28,"Nevada","New Mexico","H","W",82,65
"5700",2017-02-01,"Nevada","Utah St.","A","L",57,74
"5701",2017-02-08,"Nevada","UNLV","H","W",104,77
"5702",2017-02-12,"Nevada","San Diego St.","A","L",56,70
"5703",2017-02-15,"Nevada","Air Force","A","W",78,59
"5704",2017-02-18,"Nevada","Utah St.","H","W",77,66
"5705",2017-02-22,"Nevada","Boise St.","H","-",NA,NA
"5706",2017-02-25,"Nevada","UNLV","A","-",NA,NA
"5707",2017-03-01,"Nevada","San Jose St.","A","-",NA,NA
"5708",2017-03-04,"Nevada","Colorado St.","H","-",NA,NA
"5709",2016-11-11,"New Hampshire","Lesley","H","W",85,60
"5710",2016-11-14,"New Hampshire","Temple","A","W",57,52
"5711",2016-11-17,"New Hampshire","Abilene Christian","H","L",57,65
"5712",2016-11-20,"New Hampshire","West Virginia","A","L",41,100
"5713",2016-11-23,"New Hampshire","Detroit Mercy","H","W",86,70
"5714",2016-11-27,"New Hampshire","Winthrop","A","W",65,60
"5715",2016-11-30,"New Hampshire","Providence","A","L",62,76
