"","teamname","minutesplayed","team_fgm","team_fga","team_3fg","team_3fga","team_ft","team_fta","team_pts","team_oreb","team_dreb","team_ast","team_to","team_stl","team_blk","team_fls","opp_fgm","opp_fga","opp_3fg","opp_3fga","opp_ft","opp_fta","opp_pts","opp_oreb","opp_dreb","opp_ast","opp_to","opp_stl","opp_blk","opp_fls"
"157","Marquette",5225,745,1547,263,632,381,489,2134,244,632,430,313,194,93,499,687,1507,193,515,365,532,1932,258,611,409,346,165,95,441
"158","Marshall",5475,793,1732,276,737,465,638,2327,250,738,441,332,173,104,506,850,1838,195,563,379,583,2274,370,783,410,373,153,96,561
"159","Maryland",5425,672,1495,225,608,454,647,2023,290,694,376,360,149,131,509,638,1576,160,504,371,525,1807,317,635,294,349,171,97,552
"160","Massachusetts",5400,699,1598,198,662,374,568,1970,266,709,440,406,216,143,614,633,1561,166,498,515,745,1947,313,714,358,397,190,82,506
"161","McNeese",5025,606,1476,169,512,356,528,1737,252,592,261,337,138,78,484,684,1520,167,474,426,594,1961,332,712,374,341,157,89,496
"162","Memphis",5450,722,1625,157,520,413,609,2014,320,690,435,314,196,136,445,649,1584,195,604,353,515,1846,301,675,347,385,156,111,517
"163","Mercer",5676,697,1553,218,619,371,484,1985,321,713,384,339,117,53,482,638,1551,241,709,389,520,1906,279,595,372,294,165,91,512
"164","Miami (FL)",5200,675,1453,171,462,357,500,1878,306,658,320,337,170,107,404,603,1456,166,501,301,405,1673,252,558,305,317,161,82,453
"165","Miami (OH)",5451,671,1545,176,557,420,606,1938,266,683,315,399,196,111,552,669,1571,238,672,450,612,2026,313,722,339,407,221,99,556
"166","Michigan",5450,700,1473,252,658,354,455,2006,209,583,370,254,154,73,422,664,1425,163,418,287,417,1778,236,609,300,351,112,71,474
"167","Michigan St.",5425,699,1468,216,563,315,493,1929,243,729,473,400,127,132,551,640,1571,180,517,400,548,1860,280,615,358,310,164,83,515
"168","Middle Tenn.",5625,787,1618,179,490,318,465,2071,280,708,430,297,198,81,503,609,1453,175,538,372,532,1765,231,625,296,382,140,70,457
"169","Milwaukee",5750,695,1579,225,633,267,412,1882,233,661,382,341,127,39,517,732,1549,216,614,352,506,2032,223,720,395,322,165,104,451
"170","Minnesota",5550,699,1624,173,496,466,663,2037,310,772,415,321,160,179,458,670,1689,169,559,344,501,1853,323,722,354,360,156,99,569
"171","Mississippi St.",5201,667,1484,207,579,370,542,1911,246,667,315,339,188,105,511,655,1514,162,504,379,544,1851,288,671,304,361,126,83,475
"172","Mississippi Val.",5452,685,1638,150,431,350,553,1872,318,606,313,381,183,57,527,804,1620,252,641,426,610,2286,312,759,457,376,190,102,511
"173","Missouri",5225,608,1532,163,557,414,609,1793,297,684,314,327,166,55,513,632,1505,194,587,405,595,1863,285,729,324,352,138,119,552
"174","Missouri St.",5725,723,1626,235,640,378,551,2059,327,706,355,339,161,112,504,670,1554,179,541,380,513,1899,230,641,364,335,158,72,529
"175","Monmouth",5675,759,1768,245,665,508,677,2271,338,767,346,352,200,129,590,692,1705,221,661,452,636,2057,317,742,369,417,169,128,582
"176","Montana",5650,730,1630,208,595,404,542,2072,269,686,375,315,156,85,612,701,1530,177,516,460,665,2039,256,701,325,361,150,107,534
"177","Montana St.",5525,728,1673,272,720,442,609,2170,290,686,359,332,154,64,625,686,1510,224,591,555,780,2151,260,740,348,378,157,82,597
"178","Morehead St.",5477,804,1738,201,519,358,487,2167,371,663,443,376,189,82,583,710,1525,237,617,441,640,2098,252,626,381,404,145,99,474
"179","Morgan St.",5050,575,1509,137,467,394,562,1681,350,611,278,350,140,88,502,638,1441,136,483,384,580,1796,296,668,356,362,179,97,491
"180","Mt. St. Mary's",5826,702,1592,214,594,348,510,1966,220,644,328,383,180,123,521,745,1655,161,456,357,533,2008,355,745,336,424,183,83,535
"181","Murray St.",5700,775,1720,245,670,472,639,2267,324,719,396,338,172,61,563,744,1673,217,610,447,629,2152,304,717,357,371,161,87,549
"182","N.C. A&T",5225,574,1363,158,478,308,455,1614,285,592,266,390,124,55,494,656,1468,230,596,382,541,1924,299,583,426,264,159,106,427
"183","N.C. Central",5000,671,1450,195,555,341,495,1878,267,676,346,312,152,84,464,577,1465,163,527,274,445,1591,308,593,276,357,114,71,451
"184","NJIT",5826,729,1727,240,727,401,567,2099,329,733,364,410,196,79,562,742,1649,236,637,416,589,2136,243,739,397,400,184,84,553
"185","Navy",5625,659,1501,192,586,334,520,1844,350,627,390,409,197,53,510,619,1369,203,560,346,503,1787,217,608,360,431,208,80,521
"186","Nebraska",5275,673,1587,154,472,342,483,1842,342,664,303,342,181,106,479,660,1518,197,501,329,477,1846,280,659,324,360,150,115,481
"187","Nevada",5425,711,1598,247,636,459,666,2128,306,739,438,316,148,125,453,715,1671,171,578,325,470,1926,277,688,364,312,159,68,570
"188","New Hampshire",5450,656,1497,223,627,373,510,1908,267,761,341,342,108,51,430,653,1538,182,551,282,451,1770,207,656,307,284,167,77,488
"189","New Mexico",5425,691,1473,128,382,522,689,2032,241,681,375,360,170,97,534,673,1541,229,612,404,582,1979,275,623,393,376,205,86,575
"190","New Mexico St.",5425,731,1564,201,586,462,640,2125,348,721,405,376,124,104,501,652,1574,150,514,374,553,1828,307,585,288,372,145,54,574
"191","New Orleans",5075,651,1388,117,343,407,566,1826,305,599,406,434,199,80,433,627,1417,162,515,329,487,1745,278,522,320,413,216,80,537
"192","Niagara",5874,755,1777,226,586,454,604,2190,323,772,378,382,144,145,538,823,1864,230,633,422,578,2298,352,773,453,331,173,118,563
"193","Nicholls St.",5475,675,1585,245,707,428,589,2023,263,619,374,390,205,156,525,778,1643,226,564,382,563,2164,347,741,446,419,172,101,538
"194","Norfolk St.",5225,632,1473,177,516,375,544,1816,250,698,285,377,127,139,538,632,1523,202,612,415,635,1881,289,655,366,317,145,93,491
"195","North Carolina",5625,888,1858,207,558,451,645,2434,444,789,511,341,202,94,494,705,1688,230,674,349,489,1989,256,602,332,398,171,121,557
"196","North Carolina St.",5650,794,1668,199,549,435,623,2222,283,730,421,377,146,122,510,811,1804,239,660,394,542,2255,337,680,401,323,184,75,520
"197","North Dakota",5051,727,1495,181,461,385,540,2020,239,656,378,332,188,78,526,637,1444,172,479,375,551,1821,242,614,284,377,157,59,509
"198","North Dakota St.",5475,697,1506,206,550,413,584,2013,224,714,327,316,168,102,452,665,1581,218,581,344,487,1898,276,666,360,333,156,77,517
"199","North Florida",6000,821,1804,252,737,441,667,2335,380,790,388,481,171,128,572,848,1897,224,623,449,650,2369,365,723,453,367,243,102,585
"200","North Texas",5225,627,1492,159,501,375,573,1788,264,679,289,361,171,85,509,660,1552,197,580,400,538,1917,296,696,347,347,179,88,493
"201","Northeastern",5625,694,1498,240,645,382,569,2010,234,693,378,355,156,100,465,716,1578,207,575,331,480,1970,250,671,372,329,162,96,518
"202","Northern Ariz.",5425,643,1612,203,639,366,537,1855,318,710,364,387,118,54,487,751,1642,213,638,350,512,2065,269,732,391,327,180,96,527
"203","Northern Colo.",5025,613,1427,218,633,306,504,1750,263,663,325,352,122,57,483,651,1447,203,568,346,489,1851,221,690,317,323,149,96,499
"204","Northern Ill.",5550,696,1603,134,435,420,618,1946,342,685,290,368,201,73,519,652,1513,212,621,366,553,1882,271,679,367,423,158,81,564
